Category_Code	Syrve_System_ID	Category_Name	Parent_Group_Code
CAT-VEGETABLES	f8ca9885-564b-53e9-b351-39f0d73b4f12	Vegetables & Roots	GRP-INGREDIENTS
CAT-LIQUIDS	e2880f6a-461d-5aed-bcbe-ae6b218822e8	Oils, Juices & Liquids	GRP-INGREDIENTS
CAT-SPICES	7603b3d4-41ec-5f74-ba13-5ca91cfd80fe	Spices & Mixes	GRP-INGREDIENTS
CAT-ZEROWASTE	32b77288-7d59-501c-92b1-169c7b9c5b5a	Zero-Waste By-products	GRP-ZEROWASTE
CAT-SOUPS_SF	fc1f9fa6-671c-5c95-9cc0-70c761d993e1	Soup Bases (SF)	GRP-SF
CAT-PROTEINS	2755b68b-f506-5231-b307-2fc442a0c152	Protein Add-ons	GRP-MODIFIERS
CAT-TOPPINGS	c73de719-84f8-54d4-8f7e-551bd75cc8b6	Toppings & Dairy	GRP-MODIFIERS
CAT-SOUPS_SALE	91c7fc2a-70bc-5a60-bb45-464885eb92e2	Functional Soups	GRP-SALE
